frame_id,vehicle_speed,lane_curvature,lane_visibility,road_type,weather_condition,camera_angle,lane_detected,left_lane_position,right_lane_position
1,64.96714153011233,0.4321505269512778,0.05566639280432828,rural,foggy,0.8849559072956947,1,-1.6474065879979938,1.7515785721924253
2,58.61735698828815,0.4694500536946347,0.9857676058248134,highway,foggy,7.32206024001858,1,-1.270049496742491,1.5882128531260475
3,66.47688538100692,0.4402618938954857,0.8000184814484173,city,clear,138.19831758180155,1,-1.924660052921927,1.4877637915379427
4,75.23029856408026,0.5110418046946119,0.8688090716314495,city,snowy,15.067292702645567,0,-2.2473307102056985,1.8185378538291
5,57.658466252766644,0.6197178531461913,0.6942942781429461,city,rainy,167.04393401488173,1,-2.178181402117138,1.5354352063833592
6,57.6586304305082,0.42289578428587954,0.18605003280869947,rural,snowy,79.69256026133955,0,-1.8412207006623034,1.8755303789980862
7,75.79212815507391,0.6000820497768414,0.031028442418032265,rural,clear,136.47359490558608,0,-1.7671300473070026,1.8521536399287923
8,67.67434729152909,0.4218327927653112,0.8646566077360136,rural,rainy,22.590827292349275,0,-1.9434976715566745,1.990081383676174
9,55.30525614065048,0.4152372787503116,0.3963306537361231,city,foggy,166.77133561386688,1,-1.7271743667334407,1.8488574174441053
10,65.42560043585965,0.5818594618343214,0.2638648760399199,rural,foggy,6.085589371587849,1,-1.6213131957716191,2.3883576923509646
11,55.365823071875376,0.5921936378007617,0.5616729588389444,highway,snowy,7.584688931320116,1,-1.6831912497513577,1.7200064715513244
12,55.34270246429743,0.5851409936762655,0.42089852247571935,city,clear,9.825440438344213,1,-1.8079265348734093,1.8580309443568102
13,62.41962271566034,0.3684202591781859,0.651665995687557,highway,snowy,18.61346897342687,0,-1.9691787893670472,1.6567813391590458
14,40.86719755342202,0.45340490219279495,0.4837932330545136,highway,clear,87.62969589946401,0,-1.6335827302653847,1.9880344880606444
15,42.75082167486967,0.5822988592003322,0.6972331404402706,city,foggy,141.88975958069432,1,-1.5236314661990882,1.8127377004828986
16,54.37712470759027,0.5041541840563895,0.8534232695091429,highway,rainy,51.290609662139595,1,-1.9202387406202859,1.428670402288663
17,49.87168879665576,0.39263071538025357,0.19555701095578903,highway,foggy,134.2398279048472,0,-2.0342381545227037,1.6151326649783906
18,63.142473325952736,0.5458317939125442,0.3294328805654868,rural,snowy,139.33097545833417,1,-1.5690992368415955,1.7479160649818641
19,50.91975924478789,0.42851927410085294,0.4368155865706389,highway,rainy,163.48991937331627,0,-1.7357079096233765,1.5289419650181602
20,45.87696298664709,0.6794524848392212,0.9620584480276382,rural,clear,26.88334562659824,0,-1.7396790064737655,1.888166150718684
21,74.65648768921554,0.6544841462418258,0.3653336135474853,highway,foggy,24.39621162618173,1,-1.4561703400534491,1.4967911707467456
22,57.74223699513465,0.5604097426355568,0.38109984959262955,city,clear,21.977109996141227,0,-2.1586802641390137,1.7374167676036905
23,60.67528204687924,0.6361006704769774,0.6534725229595612,city,foggy,64.67590962974225,0,-1.8423910979567493,1.718821319153704
24,45.75251813786544,0.5064791350123381,0.41919970988994926,city,clear,88.09427955455635,0,-1.7244617710525243,1.9792110062412818
25,54.556172754748175,0.5765437494375016,0.9512237456396052,city,foggy,83.08968390281103,1,-1.3970258882939246,1.733843303070382
26,61.10922589709866,0.6477720295302075,0.8944687604754439,rural,foggy,46.26877165196302,0,-1.8098415420769698,1.947410619637041
27,48.490064225776976,0.5245498681794313,0.513408777775673,highway,clear,111.95633258342995,1,-1.8966841048900254,1.8600627814701827
28,63.75698018345672,0.4744812828485716,0.6447752339478499,highway,foggy,60.88925352609793,0,-1.7566575200685817,1.5488042398583217
29,53.99361310081195,0.3295378041822884,0.058030561883620546,city,foggy,65.89493785431358,1,-1.653815720311407,2.2198908375161888
30,57.083062502067236,0.4916866474278506,0.6957305280323981,rural,foggy,18.995411304466685,0,-1.561518886987296,1.994694764944367
31,53.98293387770603,0.5823423184562311,0.7072008729490322,rural,snowy,106.60164031639361,0,-1.5058431717403102,1.5871011649566438
32,78.52278184508938,0.5945633427567629,0.35919929564320807,city,foggy,117.95046754109241,0,-2.1825886968562878,1.5660168011189817
33,59.86502775262066,0.550436506571841,0.21968288362527266,highway,clear,136.43103968308662,0,-1.9534601811630026,2.021385397756673
34,49.422890710440996,0.445870090503776,0.9150784018170167,city,clear,162.72165836289187,1,-1.6272961540799784,1.9580597804916327
35,68.22544912103189,0.3023178431052409,0.4267049008051277,highway,snowy,137.88080201826293,0,-1.7478576500698644,1.9134226630455309
36,47.791563500289776,0.45047849019952646,0.6537061048017107,city,foggy,42.43385990701233,0,-1.7129244350675088,1.585312550835524
37,62.08863595004755,0.46956551289460485,0.03332879497625596,highway,snowy,42.41792870358656,1,-1.9250680459397627,1.6559660895266026
38,40.403298761202244,0.46870710328099857,0.4140671665768363,rural,snowy,164.71569520114144,0,-1.751867334006637,2.0401398623266487
39,46.71813951101569,0.5618556356977924,0.81725881101388,city,foggy,142.2240424947311,0,-1.8463613873237337,1.896897481246684
40,61.96861235869123,0.698567641101484,0.38757600040071505,highway,clear,140.80435745596287,1,-1.7050878576642492,1.6316344734953296
41,67.3846657999541,0.5123529201841093,0.6031611601368768,highway,foggy,129.54845881989647,0,-1.6982844297889645,2.057883087705034
42,61.7136828118997,0.4783268210843538,0.20985580048453945,highway,snowy,48.096358425680634,1,-1.7350766790558496,2.1790361902899678
43,58.843517176117594,0.47407781869959076,0.41652564883955956,highway,rainy,152.5338616332682,0,-1.744998330064609,1.684563741711187
44,56.98896304410711,0.5124384766907715,0.9276377180531866,rural,snowy,25.71924205442269,1,-1.8339238030430816,1.6457174806502342
45,45.214780096325725,0.4171706239651601,0.5664517497010372,highway,clear,63.00316967362263,0,-1.4821495288889384,2.0804505848883204
46,52.801557916052914,0.5120198558746055,0.9019314590929315,rural,foggy,62.365417188557316,1,-1.576266698212564,2.108346716662747
47,55.393612290402125,0.54508123363318,0.9020192994895433,highway,rainy,100.82378550744625,1,-1.7889136758755044,2.104262903477523
48,70.57122226218915,0.5209686063574488,0.9441478004244795,rural,snowy,83.41984007920395,1,-1.628111553084151,1.8620950532212215
49,63.43618289568462,0.5457541934004781,0.8953916600801053,rural,snowy,82.7654639579767,0,-1.3944403383696948,1.6821430587244457
50,42.36959844637266,0.5433747609348535,0.003281129010300643,highway,snowy,99.6430376303265,0,-1.980669797364357,1.9659368253900595
51,63.24083969394795,0.3228103317753556,0.9340148915815969,rural,foggy,74.77532188418319,1,-1.9396067723665382,1.7187181867634054
52,56.149177195836835,0.5636870158395403,0.1374594390853764,city,foggy,44.996981637192405,0,-1.7828012972998204,1.7068698870727521
53,53.23077999694041,0.4328985154337546,0.03992625111115056,highway,snowy,119.5417291981207,1,-1.7373246213114553,1.8209646590082236
54,66.11676288840867,0.39041608369960423,0.05538853457805282,city,foggy,142.31400819091243,1,-1.9068461116821573,1.7897603548020886
55,70.30999522495951,0.38955481721450036,0.3489161951764336,rural,rainy,86.21925819202609,0,-1.658864718727522,1.684011842154574
56,69.31280119116198,0.543354161047253,0.6208040852687936,rural,rainy,116.9069736086113,1,-1.8163369980219668,1.5729876021683047
57,51.607824767773614,0.4777425072775147,0.4023111965189975,city,clear,96.3653907281465,0,-1.5814202763940013,1.745655182048367
58,56.907876241487855,0.3318031216014589,0.025554284649379477,highway,foggy,10.619358936678442,1,-1.9335522774782086,1.6600755238252125
59,63.31263431403564,0.5478037815192284,0.4764826341747147,city,foggy,76.15523908154451,0,-1.9718938339147503,1.5151238716881692
60,69.75545127122359,0.35603918692011727,0.4421307422703801,rural,snowy,1.7734499139127102,1,-1.8390592718006271,1.8225584247162305
61,55.2082576215471,0.5139821358518211,0.7568492655016469,highway,rainy,119.13827006965644,1,-1.8301731042779283,1.8277063505750561
62,58.14341023336183,0.5238498925673054,0.27961289842543835,city,foggy,91.46906457922826,0,-1.9791447943379317,1.9387178101565343
63,48.93665025993972,0.5885577081695045,0.21753117379436715,city,foggy,22.829676332345446,0,-1.7787779755634212,1.820421035301239
64,48.037933759193294,0.6781684786466852,0.2559389576766262,highway,foggy,97.59447577419087,0,-1.9310069029153198,1.7790046001071598
